EntrezID,Symbol,stat(DNAm),P(DNAm),stat(mRNA),P(mRNA),stat(Int)
ENSDARG00000038768,mrpl12,-2.14540164416496,0.0848266128406757,2.64771458283216,0.00810379114428561,3.76450171879597
ENSDARG00000006691,rpl12,-1.56875010059489,0.177591702473958,5.43801678161167,5.38769011003699e-08,4.89414379447789
ENSDARG00000043509,rpl11,-1.28862548493578,0.254017009891272,6.34857114680812,2.1732392620624e-10,5.17083094780793
ENSDARG00000051783,rplp0,-1.28830366450994,0.254120376461433,4.8498111596235,1.23579069125625e-06,4.25400459821608
ENSDARG00000039667,mrpl38,1.21079170368554,0.280163278989325,1.71933747421787,0.0855529401512539,0
ENSDARG00000039338,gadd45gip1,-1.02988268486528,0.350356878006684,3.47750820989674,0.000506097551460665,3.15640864755084
ENSDARG00000075325,mrpl16,-0.915634760128427,0.401925936213545,1.24257684400396,0.214023807262035,1.67548110984697
ENSDARG00000007320,rpl7,-0.546177290419567,0.60845791900977,6.03694084807696,1.57063263905209e-09,4.23781816479548
ENSDARG00000090568,mrpl52,0.674369269303322,0.530039434706414,4.06587939585041,4.78516785914225e-05,0
ENSDARG00000014867,rpl8,0.53940632523638,0.612786712503882,5.84700751845663,5.00494892130017e-09,0
ENSDARG00000007285,mrpl57,0.509460911842113,0.632145021475773,2.97907150789318,0.00289123296370624,0
ENSDARG00000045913,mrps10,0.372531179675532,0.724790558103536,3.16509033132993,0.00155034811393564,0
ENSDARG00000090462,mrpl20,0.358476230975734,0.734648627974697,3.24917337095842,0.00115740913459896,0
ENSDARG00000039543,mrps6,-0.34075742627497,0.747159345515615,1.77342858359143,0.0761577160917878,1.42522414737233
ENSDARG00000041538,mrps28,-0.290684332590036,0.782982428628861,3.14205369563741,0.00167767265743051,2.21207699556335
ENSDARG00000005675,sec61a1l,0.740285637389352,0.492453768997831,-2.56678049013602,0.0102647569590796,2.30989382328953
ENSDARG00000035699,srp19,-1.14803399528923,0.30297815412723,3.56868480052166,0.000358777746149259,3.33031522164354
ENSDARG00000014139,srp72,0.781423242774948,0.469973576073573,-1.5602185603405,0.118708240996686,1.73551021418327
ENSDARG00000007216,abce1,-0.562154212683725,0.598315537277083,0.674741790977865,0.499839828304966,0.974764579077652
ENSDARG00000009285,rpl15,-1.80485738343672,0.131032230262421,5.73546772895321,9.7243607337692e-09,5.31214487137233
ENSDARG00000077717,rpl29,-1.04193346284523,0.345251931545282,5.92960298112967,3.0366801387782e-09,4.66793631508992
ENSDARG00000035871,rpl30,-0.857762883959445,0.430272045852997,5.8292591625089,5.56739828424115e-09,4.42240463434252
ENSDARG00000021864,rplp1,-0.503320107938781,0.636157155735173,5.98438201316732,2.17212974808495e-09,4.16282080599943
ENSDARG00000041811,rps25,-0.508278945380027,0.632916159165093,5.63833323932093,1.71703987695586e-08,3.95616786353299
ENSDARG00000058451,rpl6,-0.339389185410916,0.748129166070538,5.44516174636337,5.17583316318597e-08,3.6691520862461
ENSDARG00000017445,eif3i,-1.60421943952837,0.169666491878388,4.66163138247548,3.13712701529542e-06,4.4548468327555
ENSDARG00000013931,eif3m,-1.4660792387721,0.202624081734125,2.70289584404889,0.00687382822249833,3.11892312579646
ENSDARG00000005827,eif2s1a,-2.73163334784972,0.0412714583862205,1.89846241800341,0.05763519397027,3.89255932627808
ENSDARG00000053365,rpl31,0.864459901465813,0.426914580163602,4.64343549354773,3.42663011245457e-06,0
ENSDARG00000017439,eif4ba,1.06676768109712,0.334929389681769,-0.893523810559998,0.371576726910747,1.61316512051251
ENSDARG00000068289,eif3k,0.0884480143181572,0.932959380422434,1.95554930245722,0.0505182700882219,0
ENSDARG00000077012,eif4ea,-0.959629837402459,0.381382443152296,2.26948296351816,0.0232389720883805,2.34743804733253
ENSDARG00000076815,eif3s10,1.07989980762079,0.329577761457744,3.78918849838154,0.00015114020056682,0
ENSDARG00000021140,pabpc1b,0.980192816874838,0.372076153182785,-1.90727887687735,0.0564844840354486,2.14651013518302
ENSDARG00000006200,eif4g1a,1.94286368054438,0.109762311162841,1.32375969469555,0.18558286597796,0
ENSDARG00000013457,mtrex,-1.07037680235024,0.333451259955674,-2.26056666448326,0.0237861039617423,0
ENSDARG00000031795,abcf1,-1.21309220262217,0.279356856599858,5.31931058138647,1.04161193447133e-07,4.46589604150721
ENSDARG00000074645,CABZ01032476.1,1.41095567983563,0.217432024211576,-2.34662810557746,0.0189441526776828,2.84593880283055
ENSDARG00000036116,eif3hb,0.19954439941329,0.84971068452394,-0.371531215634255,0.710241910350671,0.426738910053376
ENSDARG00000013475,cct4,4.86496573989287,0.00463336164203754,0.388295469908104,0.697797389280935,0
ENSDARG00000060767,smg7,0.817057548826529,0.451114506646458,0.378136055907301,0.705329524635826,0
ENSDARG00000039350,ssbp1,-2.13518289086415,0.0859295842472165,3.66017765683983,0.000252040439504082,4.37341278005904
ENSDARG00000036060,exosc6,0.622303749454687,0.561061225601428,1.5043915475878,0.132480579347341,0
ENSDARG00000017235,eif5a,0.231442877086252,0.82615852907138,4.78899645818804,1.67617439104119e-06,0
ENSDARG00000031637,pan3,-1.0789398416207,0.329966478476237,-1.02331294067313,0.306159907160046,0
ENSDARG00000041397,eif2b2,-0.253888922125946,0.809707236934518,2.02223307052155,0.043152279312757,1.4905017113717
ENSDARG00000074995,eif2b5,-0.517609317534224,0.626843295846076,-0.585143762725241,0.558451054963524,0
ENSDARG00000043960,rpf2,0.236427940962147,0.822495734382833,2.13038598744776,0.0331397597029043,0
