EntrezID,Symbol,stat(DNAm),P(DNAm),stat(mRNA),P(mRNA),stat(Int)
ENSDARG00000063285,ube2t,-0.414203167342452,0.694378448057027,6.57992258911899,4.70693264816462e-11,7.26015172996345
ENSDARG00000068833,dclre1b,-2.65472355966427,0.041079206976078,3.86750400482548,0.000109955023314528,6.67859057696774
ENSDARG00000069326,mus81,-1.90362758205106,0.110012670573688,3.26758545955072,0.00108469113119167,5.30332137435261
ENSDARG00000014161,ercc4,-1.59393421049982,0.166485130245084,-1.46260607621586,0.143575199657109,0
ENSDARG00000055232,fancc,-1.26714941171182,0.256073962314955,2.51802062074567,0.0118016411524188,3.88697349258325
ENSDARG00000067596,fancb,-1.24771555869422,0.262593787707072,-1.36873116407639,0.171083325039563,0
ENSDARG00000051731,faap24,-0.957532305527159,0.378445682064643,0.828241374584346,0.407533816573192,1.81925944152955
ENSDARG00000019250,fancf,0.734649119695986,0.492649968552463,1.47062949349618,0.141391343273974,0
ENSDARG00000070485,cenps,-0.635919361019146,0.5503352293711,3.0616105530636,0.00220149678322387,3.82131069065444
ENSDARG00000061414,slx4,0.625416692630978,0.556718964567173,-0.0527392886194679,0.957939634777596,0.680288228310616
ENSDARG00000006514,her6,-0.0465386095315333,0.964523064261699,5.95501135990697,2.60053766355489e-09,6.24231081012902
ENSDARG00000038543,wdr48b,-2.01753299241389,0.0944816852362864,-1.98975245059088,0.0466182117175185,0
ENSDARG00000039302,terfa,-0.875091884651937,0.418069610975877,2.05599048276902,0.0397834335708593,3.0142059699074
ENSDARG00000012325,zgc:110269,-2.25805082337126,0.0686800837192242,1.36460511850863,0.172377195155991,3.67782686527303
ENSDARG00000079915,pot1,0.708005198925759,0.507797400558779,2.03247383508599,0.0421057099851853,0
ENSDARG00000013837,spo11,-2.42206037735708,0.0554125845807569,-0.15946762385312,0.873300464300352,0
ENSDARG00000075619,cenpo,0.104759679835589,0.920278633581017,3.21464814150472,0.00130604504194023,0
ENSDARG00000042563,mis18bp1,-0.747529400216136,0.4854403881555,1.92545040936626,0.0541730343128126,2.75082568278895
ENSDARG00000044135,cenpp,0.217171736583174,0.83589858969357,4.2681424820456,1.97107420191744e-05,0
ENSDARG00000052565,cenpi,-0.249808263180419,0.811795055059074,1.83621582454243,0.0663257431788386,2.16026221068975
ENSDARG00000024681,pane1,1.10087755748832,0.316750643088726,5.81229971170017,6.16203884842237e-09,0
ENSDARG00000043640,cenpn,0.169650854544016,0.871346509370377,2.18092738834991,0.0291887875821723,0
ENSDARG00000000830,telo2,-6.55804382878145,0.00085089945752014,-2.11990105105847,0.034014390753847,0
ENSDARG00000079616,cramp1,0.285181769067664,0.785929006272402,-1.99006910720893,0.0465833233254403,2.35570928052241
ENSDARG00000041239,wdr20b,-3.49364361590577,0.0148762878699287,-0.014444345915309,0.98847548014897,0
