EntrezID,Symbol,stat(DNAm),P(DNAm),stat(mRNA),P(mRNA),stat(Int)
ENSDARG00000042835,tfdp2,-16.1678529657473,7.52309234420515e-06,1.50682426302756,0.131855708643276,17.7355980657664
ENSDARG00000045636,rbl2,1.88667237148843,0.112537305227607,-0.409449670772039,0.682209694410501,2.31267607398227
ENSDARG00000028475,lin9,1.83401324132629,0.120757609061785,0.512354334231106,0.608403044830832,0
ENSDARG00000070228,cdk6,-1.78694824853833,0.128614074297832,6.91073876074708,4.82136214988e-12,8.97708786568544
ENSDARG00000051748,ccnd2a,-1.35595570870257,0.228096985968655,2.39404324730612,0.0166637838274208,3.84679001651808
ENSDARG00000070463,e2f3,0.990664950055525,0.363381388513154,1.09569193280028,0.27321361427282,0
ENSDARG00000079233,si:ch211-160f23.5,-0.770653573415931,0.472682979095925,1.290149563289,0.196998734062793,2.11296382535873
ENSDARG00000007971,cks1b,-0.62878339838384,0.554667539973783,5.34267747156284,9.1583632709542e-08,6.1874650791497
ENSDARG00000087937,cdk4,0.595289458360783,0.575287309567188,-0.354907410721518,0.722658956476434,0.964545759690285
ENSDARG00000006782,rb1,0.518993577858185,0.623958176818044,0.106238013002939,0.915393511576497,0
ENSDARG00000063194,lin54,-0.344853051618611,0.742996864019887,1.00746496629786,0.313711385123944,1.39304978106392
ENSDARG00000008141,rbl1,0.241296772383176,0.818060245327613,1.4837959311001,0.137863066896583,0
ENSDARG00000043236,ccna1,-0.041387756926803,0.968446807611579,0.224583436422218,0.822303351566531,0.275051091554122
ENSDARG00000011094,ccna2,-0.0364734220322368,0.972191302845828,1.1211563778841,0.262221304267561,1.20295810170636
ENSDARG00000037773,rybpa,0.328085007082177,0.754965372621485,-0.828140225184811,0.407591091174879,1.18970690421937
ENSDARG00000053459,rybpb,0.175240272999181,0.867157862298925,1.02185996258905,0.306847184361273,0
ENSDARG00000070833,lin52,0.0682341831743427,0.948009750152816,4.80578426317743,1.541460486873e-06,0
ENSDARG00000026577,cdk2,-0.0167965614926226,0.987191031703192,3.06275228905503,0.00219311520057241,3.20337578745398
ENSDARG00000076554,cdkn1a,-0.236066903828892,0.821917381611581,1.08921076034284,0.276060954891514,1.36931440608542
ENSDARG00000029018,cdkn1ba,0.0725823669791095,0.944703361445086,-0.209838411564941,0.833793792322976,0.290904536059221
ENSDARG00000027391,ccnd3,-1.06835331602668,0.329962520631555,-0.281454305560965,0.778361970895108,0
ENSDARG00000094176,cdkn2d,-0.13528273796163,0.89719867721448,-0.427397616184864,0.669089743403742,0
ENSDARG00000032264,mybl2b,-0.882562331548131,0.414352464978275,0.79607986201796,0.425985618243658,1.71082766648167
ENSDARG00000023814,dyrk1ab,-0.283031869980244,0.787492781499613,1.32147380279431,0.186343431933441,1.65793279901873
ENSDARG00000040990,usp37,-0.613719094381216,0.563883641218352,3.15972185122103,0.00157919821299812,3.9011883575333
ENSDARG00000054271,cdkn1bb,0.631665100777948,0.55291543905296,-0.999412537840717,0.317594888658477,1.67148384244679
ENSDARG00000097662,tesmin,3.10264057745385,0.0235696633282851,-0.774051414902635,0.438900387115926,3.90798685614874
ENSDARG00000079220,wdr20a,0.350410322741438,0.73904770290856,-1.75920664955997,0.0785424152428995,2.18074161779713
ENSDARG00000095322,fkbpl,-1.30618272846875,0.243415437385425,0.747318864859809,0.454871107749296,2.08371566132831
ENSDARG00000059131,spdya,-0.945793323053703,0.383900833777469,-1.69515665694252,0.0900457066810549,0
ENSDARG00000020596,miga1,-2.69265157392588,0.0391484372691286,-1.1578688070189,0.246917578713529,0
ENSDARG00000003486,ppp1caa,-4.3793507091893,0.00572437327043212,1.0286169404611,0.303659714251569,5.44955458615925
ENSDARG00000078109,usp12a,-0.189658942583535,0.85637527632309,-1.9031173196071,0.0570252384752562,0
ENSDARG00000087646,runx1,-0.892675189848999,0.409360785030011,-0.412404161286332,0.680043213607971,0
ENSDARG00000053666,myb,-0.212128519690497,0.83964186229408,4.26022408379189,2.04222050852869e-05,4.64459327104003
ENSDARG00000042725,cebpb,0.248272823642363,0.812924135503844,3.30172467744104,0.000960923412636706,0
ENSDARG00000079626,elf2b,0.909628395941138,0.401096569543899,2.86024080302718,0.00423319438553493,0
ENSDARG00000041239,wdr20b,-3.49364361590577,0.0148762878699287,-0.014444345915309,0.98847548014897,0
