EntrezID,Symbol,stat(DNAm),P(DNAm),stat(mRNA),P(mRNA),stat(Int)
ENSDARG00000019728,bmpr1aa,-3.44301967968714,0.0157683728109893,4.48840364529265,7.17588672969396e-06,8.11288928191726
ENSDARG00000075226,smad4a,4.65140333448036,0.00436936832905164,-3.34185271067519,0.000832212084643554,8.12836699951964
ENSDARG00000016086,smurf1,-3.37185205808395,0.0171252845574476,-4.03235687932256,5.52202448087915e-05,0
ENSDARG00000013409,bmp2a,2.4372225400528,0.0543315600544051,1.67773509053004,0.0933988258673787,0
ENSDARG00000038067,smurf2,1.73649744517738,0.13760277944424,-1.95283646890295,0.0508389756836612,3.76828700443875
ENSDARG00000011941,bmpr2a,-1.56783889124909,0.172375867032719,-1.36991835848183,0.170712388235804,0
ENSDARG00000019995,bmp4,-0.785095667597126,0.46483716672682,-1.47201828951705,0.141015938732096,0
ENSDARG00000031763,smad6b,0.42691167390142,0.685633860780202,-2.79850667629645,0.00513395080837362,3.33856184889871
ENSDARG00000044422,acvr2ba,-0.364532297427034,0.729052424393359,-3.25541008164148,0.00113228744448237,0
ENSDARG00000011188,acvr2aa,0.0649739946342234,0.950489583742338,-1.93188197133535,0.0533740754930115,2.07496186693645
ENSDARG00000016858,smad7,0.0401252046730475,0.969408732255722,-0.415627263616034,0.677682773387403,0.472556259810926
ENSDARG00000037238,smad5,0.00274642326244727,0.997905478992958,0.852850914366795,0.3937419851011,0
ENSDARG00000002760,gdf5,0.603828889842867,0.569985883107213,0.921562517418186,0.356756817372462,0
ENSDARG00000075747,zfyve16,0.496076068860105,0.639020105477431,-0.686014145922551,0.492704188080843,1.20982573576082
ENSDARG00000042259,tgfbr1b,2.522532451005,0.0486546524843378,-0.572488847055847,0.56699083954559,3.11816699632619
ENSDARG00000017494,tgfbr1a,-1.52648610814693,0.182122957295492,1.22103738375638,0.222071865729773,2.79688997825579
ENSDARG00000059363,tgfbr2a,-2.53620384870006,0.0478055764996131,-0.882066323915029,0.377740942052678,0
ENSDARG00000010207,smad3b,7.07256375176602,0.000583445379786783,-3.78028503534822,0.000156648919205795,11.0056855405901
ENSDARG00000034541,tgfbr2b,-0.331493894781999,0.752525908841692,-1.07528828466077,0.282245679665173,0
ENSDARG00000006389,smad2,1.54008328836669,0.178861221681516,2.51948187035859,0.0117527692591125,0
ENSDARG00000041502,tgfb1a,-0.925789227354605,0.39333953591898,0.916142233342517,0.359592299086276,1.87897104987014
ENSDARG00000023058,foxo3a,2.39717171560476,0.0572370639816554,-0.743786548457767,0.457005619340324,3.17102952066946
ENSDARG00000018968,acvr1ba,-1.07242364650713,0.328284201372102,-2.78825573527061,0.00529926931238673,0
ENSDARG00000052142,acvr1bb,-2.96160932232872,0.0279864977954337,-2.62103802828554,0.00876624828015497,0
ENSDARG00000008034,skib,-1.73585264446672,0.137721608270618,-2.30400772785557,0.0212222097893421,0
ENSDARG00000042151,skia,-2.05051961738854,0.090417484582465,-2.38327989734191,0.0171591421717273,0
ENSDARG00000022904,skilb,-2.93914367260479,0.0287707180381511,-2.46900460622278,0.013548947440582,0
ENSDARG00000023933,skila,-2.01376960995285,0.0949571558236052,-3.78781170301472,0.000151979957390391,0
ENSDARG00000032155,ppm1aa,0.653970687116339,0.539472696016095,-2.40191762618356,0.0163093805663184,3.15299773459214
ENSDARG00000088347,sp1,-1.52456511865896,0.182588323076748,0.851733930515389,0.394361783826146,2.4107346135691
ENSDARG00000016181,trim33,1.89975139612922,0.110584730462019,-0.490462087444068,0.623806951354078,2.4100428436472
ENSDARG00000067719,wwtr1,2.72225347824848,0.0377098597883648,2.29100938376824,0.0219628709411685,0
ENSDARG00000043250,ppm1ab,0.506608754301823,0.63207322615167,1.02950525209581,0.303242313038547,0
ENSDARG00000059337,tgif1,0.897614233367378,0.406939716465141,3.92823588839944,8.5571257164691e-05,0
ENSDARG00000040777,inhbb,-2.02561430127282,0.0934689326993698,-0.904552170330365,0.365702684002257,0
ENSDARG00000069378,pard6a,-1.16288320664235,0.292804069572832,-1.47935099647866,0.139046529826871,0
ENSDARG00000040261,runx2a,0.963702871848576,0.375602969745224,-0.00495755813793133,0.996044457105284,0.968860863838422
ENSDARG00000074321,tead3a,-6.56740005229596,0.000844901937516043,2.26658319486114,0.0234156996442641,8.92562110349501
ENSDARG00000019367,tgfb3,-1.30105878403003,0.24504432585901,-1.12626015135554,0.260055419464429,0
ENSDARG00000027087,tgfb2,-0.40676772398898,0.699519307680797,-1.2995485996249,0.193755726262303,0
ENSDARG00000012671,inhbaa,-1.42749753444262,0.207626148485094,0.129386047532799,0.897052187335534,1.56211465404144
ENSDARG00000057992,fstb,7.0739884198972,0.00058285461423031,-2.44303775653623,0.0145642134977849,9.61579808274118
ENSDARG00000024759,inhbab,0.886683191860828,0.41231282767218,-0.417456668005441,0.676344412869114,1.32101761412507
ENSDARG00000052433,inha,1.81846800494094,0.123297889204326,-0.682035958826683,0.495216213511711,2.52807864682093
ENSDARG00000008141,rbl1,0.241296772383176,0.818060245327613,1.4837959311001,0.137863066896583,0
ENSDARG00000031126,notum1a,-2.24686080962409,0.069699942799181,1.388316326786,0.165040742744276,3.69130670288443
ENSDARG00000018260,bmp7a,1.61499112345503,0.161874020746926,-0.679538094056449,0.496796979125258,2.32200291200478
ENSDARG00000007996,pou2f1b,-1.10874716290069,0.313621799881403,1.27728497774148,0.201501655208376,2.43767271468252
ENSDARG00000052826,runx3,-0.715067493693728,0.50375180124894,-0.80045011614313,0.423450054435369,0
