"SUID","color","gene_name","id","label.cex","mtval","name","rtval","selected","shared name","shared_name","vmcolor","vrcolor"
"3354","#FFFFE0",,"ENSDARG00000088347","0.5","-1.524565","ENSDARG00000088347","0.8517339","false","ENSDARG00000088347",,"#FFFFE0","#BEBEBE"
"3355","#BEBEBE",,"ENSDARG00000028082","0.5","-1.492498","ENSDARG00000028082","-1.26932","false","ENSDARG00000028082",,"#BEBEBE","#BEBEBE"
"3356","#BEBEBE",,"ENSDARG00000012671","0.5","-1.427498","ENSDARG00000012671","0.129386","false","ENSDARG00000012671",,"#BEBEBE","#BEBEBE"
"3357","#BEBEBE",,"ENSDARG00000035682","0.5","1.323892","ENSDARG00000035682","0.4175218","false","ENSDARG00000035682",,"#BEBEBE","#BEBEBE"
"3358","#BEBEBE",,"ENSDARG00000019367","0.5","-1.301059","ENSDARG00000019367","-1.12626","false","ENSDARG00000019367",,"#BEBEBE","#BEBEBE"
"3359","#BEBEBE",,"ENSDARG00000078335","0.5","-1.262085","ENSDARG00000078335","-0.4709965","false","ENSDARG00000078335",,"#BEBEBE","#BEBEBE"
"3360","#BEBEBE",,"ENSDARG00000040917","0.5","-1.221018","ENSDARG00000040917","0.5637194","false","ENSDARG00000040917",,"#BEBEBE","#BEBEBE"
"3361","#BEBEBE",,"ENSDARG00000069378","0.5","-1.162883","ENSDARG00000069378","-1.479351","false","ENSDARG00000069378",,"#BEBEBE","#BEBEBE"
"3362","#BEBEBE",,"ENSDARG00000007996","0.5","-1.108747","ENSDARG00000007996","1.277285","false","ENSDARG00000007996",,"#BEBEBE","#BEBEBE"
"3363","#BEBEBE",,"ENSDARG00000018968","0.5","-1.072424","ENSDARG00000018968","-2.788256","false","ENSDARG00000018968",,"#BEBEBE","#00FF00"
"3364","#BEBEBE",,"ENSDARG00000078864","0.5","-0.9880581","ENSDARG00000078864","-2.289963","false","ENSDARG00000078864",,"#BEBEBE","#00FF00"
"3365","#BEBEBE",,"ENSDARG00000040261","0.5","0.9637029","ENSDARG00000040261","-0.004957558","false","ENSDARG00000040261",,"#BEBEBE","#BEBEBE"
