SUID,color,id,label.cex,mtval,name,rtval,selected,shared.name,shared_name,vmcolor,vrcolor,gene_name,log2FoldChange,padj
3346,#5E76F1,ENSDARG00000038067,0.5,1.736497,ENSDARG00000038067,-1.952836,false,ENSDARG00000038067,NA,#5E76F1,#0DFD0D,smurf2,-0.541120101527484,0.161495328475791
3347,#FFFF7A,ENSDARG00000008034,0.5,-1.735853,ENSDARG00000008034,-2.304008,false,ENSDARG00000008034,NA,#FFFF7A,#00FF00,skib,-0.965588975846915,0.085950432805538
3348,#FFFFA3,ENSDARG00000043332,0.5,-1.641105,ENSDARG00000043332,-1.589681,false,ENSDARG00000043332,NA,#FFFFA3,#83F083,prkcz,-1.33253050331407,0.275328078697657
3349,#8EB1EB,ENSDARG00000018260,0.5,1.614991,ENSDARG00000018260,-0.6795381,false,ENSDARG00000018260,NA,#8EB1EB,#BEBEBE,bmp7a,-2.08156122993665,NA
3350,#FFFFCC,ENSDARG00000006110,0.5,-1.579671,ENSDARG00000006110,-0.6496278,false,ENSDARG00000006110,NA,#FFFFCC,#BEBEBE,chrd,-0.859372289849816,0.719392084669498
3351,#FFFFCC,ENSDARG00000011941,0.5,-1.567839,ENSDARG00000011941,-1.369918,false,ENSDARG00000011941,NA,#FFFFCC,#BEBEBE,bmpr2a,-0.483577078062727,0.3630309074044
3352,#ADD8E6,ENSDARG00000006389,0.5,1.540083,ENSDARG00000006389,2.519482,false,ENSDARG00000006389,NA,#ADD8E6,#FF0000,smad2,0.675685566461649,0.0560811208450455
3353,#FFFFE0,ENSDARG00000017494,0.5,-1.526486,ENSDARG00000017494,1.221037,false,ENSDARG00000017494,NA,#FFFFE0,#BEBEBE,tgfbr1a,0.541347151983465,0.429071497369322
3354,#FFFFE0,ENSDARG00000088347,0.5,-1.524565,ENSDARG00000088347,0.8517339,false,ENSDARG00000088347,NA,#FFFFE0,#BEBEBE,sp1,0.345666441392265,0.615565578181393
3355,#BEBEBE,ENSDARG00000028082,0.5,-1.492498,ENSDARG00000028082,-1.26932,false,ENSDARG00000028082,NA,#BEBEBE,#BEBEBE,mapkapk5,-0.421253799999956,0.406555602820024
3356,#BEBEBE,ENSDARG00000012671,0.5,-1.427498,ENSDARG00000012671,0.129386,false,ENSDARG00000012671,NA,#BEBEBE,#BEBEBE,inhbaa,0.171803332221322,0.95254946446533
3357,#BEBEBE,ENSDARG00000035682,0.5,1.323892,ENSDARG00000035682,0.4175218,false,ENSDARG00000035682,NA,#BEBEBE,#BEBEBE,FP102018.1,0.698507053208042,0.831497429942531
3358,#BEBEBE,ENSDARG00000019367,0.5,-1.301059,ENSDARG00000019367,-1.12626,false,ENSDARG00000019367,NA,#BEBEBE,#BEBEBE,tgfb3,-0.428252917775818,0.474530629033403
3359,#BEBEBE,ENSDARG00000078335,0.5,-1.262085,ENSDARG00000078335,-0.4709965,false,ENSDARG00000078335,NA,#BEBEBE,#BEBEBE,amot,-0.22127947862682,0.806372050278271
3360,#BEBEBE,ENSDARG00000040917,0.5,-1.221018,ENSDARG00000040917,0.5637194,false,ENSDARG00000040917,NA,#BEBEBE,#BEBEBE,cbfb,0.169042882853058,0.76147952885969
3361,#BEBEBE,ENSDARG00000069378,0.5,-1.162883,ENSDARG00000069378,-1.479351,false,ENSDARG00000069378,NA,#BEBEBE,#BEBEBE,pard6a,-0.63315774780154,0.317807673142233
3362,#BEBEBE,ENSDARG00000007996,0.5,-1.108747,ENSDARG00000007996,1.277285,false,ENSDARG00000007996,NA,#BEBEBE,#BEBEBE,pou2f1b,0.229563298978005,0.403040494704483
3363,#BEBEBE,ENSDARG00000018968,0.5,-1.072424,ENSDARG00000018968,-2.788256,false,ENSDARG00000018968,NA,#BEBEBE,#00FF00,acvr1ba,-0.822738320414084,0.0307735828018733
